lemma_plural,lemma_singular,classification
auto-sugestionável,auto-sugestionável,A+XA:ms:fs
auto-sustentáveis,auto-sustentável,A+XA:mp:fp
auto-sustentável,auto-sustentável,A+XA:ms:fs
auto-ônibus,auto-ônibus,N+XN:ms:mp
autos-de-fé,auto-de-fé,N+XDN:mp
ave-aria,ave-maria,N+NN:fs
ave-marias,ave-maria,N+NN:fp
azeite-de-dendê,azeite-de-dendê,N+NDN:ms
azeites-de-dendê,azeite-de-dendê,N+NDN:mp
azougue-do-brasil,azougue-do-brasil,N+NDN:ms
azougue-dos-pobres,azougue-dos-pobres,N+NDN:ms
azougues-do-brasil,azougue-do-brasil,N+NDN:mp
azougues-dos-pobres,azougue-dos-pobres,N+NDN:mp
azuis-claros,azul-claro,A+NA:mp
azuis-escuros,azul-escuro,A+NA:mp
azuis-marinhos,azul-marinho,N+NA:mp
azuis-piscina,azul-piscina,A+NN:mp:fp
azuis-piscina,azul-piscina,N+NN:mp
azuis-piscinas,azul-piscina,A+NN:mp:fp
azuis-piscinas,azul-piscina,N+NN:mp
azuis-turquesa,azul-turquesa,A+NA:mp:fp
azuis-turquesa,azul-turquesa,N+NN:mp
azuis-turquesas,azul-turquesa,A+NA:mp:fp
azuis-turquesas,azul-turquesa,N+NN:mp
azul-celeste,azul-celeste,A+NA:ms:mp:fs:fp
azul-claro,azul-claro,A+NA:ms
azul-claros,azul-claro,A+NA:mp
azul-escuro,azul-escuro,A+NA:ms
azul-escuros,azul-escuro,A+NA:mp
azul-marinho,azul-marinho,N+NA:ms
azul-piscina,azul-piscina,A+NN:ms:fs
azul-piscina,azul-piscina,N+NN:ms
azul-turquesa,azul-turquesa,A+NA:ms:fs
azul-turquesa,azul-turquesa,N+NN:ms
açaí-do-pará,açaí-do-pará,N+NDN:ms
açaís-do-pará,açaí-do-pará,N+NDN:mp
aço-carbono,aço-carbono,N+NN:ms
aço-liga,aço-liga,N+NN:ms
açoite-de-rio,açoite-de-rio,N+NDN:ms
aços-carbono,aço-carbono,N+NN:mp
aços-carbonos,aço-carbono,N+NN:mp
aços-liga,aço-liga,N+NN:mp
aços-ligas,aço-liga,N+NN:mp
açúcar-cande,açúcar-cande,N+NN:ms
açúcares-cande,açúcar-cande,N+NN:mp
açúcares-candes,açúcar-cande,N+NN:mp
baba-de-boi,baba-de-boi,N+NDN:fs
baba-de-moça,baba-de-moça,N+NDN:fs
babas-de-boi,baba-de-boi,N+NDN:fp
babas-de-moça,baba-de-moça,N+NDN:fp
baby-doll,baby-doll,N+NN:ms
baby-sitter,baby-sitter,N+NN:ms:fs
baco-baco,baco-baco,N+NN:ms
baco-bacos,baco-baco,N+NN:mp
bad-lands,bad-lands,N+NN:fp
baixa-grandense,baixa-grandense,A+NA:ms:fs
baixa-grandenses,baixa-grandense,A+NA:mp:fp
baixa-mar,baixa-mar,N+VN:fs
baixa-mares,baixa-mar,N+VN:fp
baixa-verdense,baixa-verdense,A+NA:ms:fs
baixa-verdenses,baixa-verdense,A+NA:mp:fp
baixo-astrais,baixo-astral,A+AN:mp:fp
baixo-astral,baixo-astral,A+AN:ms:fs
baixo-império,baixo-império,N+AN:ms
baixo-latim,baixo-latim,N+AN:ms
baixo-relevo,baixo-relevo,N+AN:ms
baixos-astrais,baixo-astral,A+AN:mp:fp
baixos-impérios,baixo-império,N+AN:mp
baixos-latins,baixo-latim,N+AN:mp
baixos-relevos,baixo-relevo,N+AN:mp
balaio-de-gatos,balaio-de-gatos,N+NDN:ms
balaios-de-gatos,balaio-de-gatos,N+NDN:mp
baleia-azul,baleia-azul,N+NA:fs
baleias-azuis,baleia-azul,N+NA:fp
balão-de-ensaio,balão-de-ensaio,N+NDN:ms
balões-de-ensaio,balão-de-ensaio,N+NDN:mp
banana-maçã,banana-maçã,N+NN:fs
banana-nanica,banana-nanica,N+NN:fs
banana-split,banana-split,N+NN:ms
bananas-macã,banana-maçã,N+NN:fp
bananas-maçãs,banana-maçã,N+NN:fp
bananas-nanicas,banana-nanica,N+NN:fp
bananas-split,banana-split,N+NN:mp
bang-bang,bang-bang,N+NN:ms
bangue-bangue,bangue-bangue,N+NN:ms
bangue-bangues,bangue-bangue,N+NN:mp
banho-de-cheiro,banho-de-cheiro,N+NDN:ms
banho-maria,banho-maria,N+NN:ms
banhos-de-cheiro,banho-de-cheiro,N+NDN:mp
banhos-maria,banho-maria,N+NN:mp
banhos-marias,banho-maria,N+NN:mp
barba-azul,barba-azul,N+NA:ms
barba-de-bode,barba-de-bode,N+NDN:ms
barbas-azuis,barba-azul,N+NA:mp
barbas-de-bode,barba-de-bode,N+NDN:mp
barra-alegrense,barra-alegrense,A+NA:ms:fs
barra-alegrenses,barra-alegrense,A+NA:mp:fp
barra-bonitense,barra-bonitense,A+NA:ms:fs
barra-bonitenses,barra-bonitense,A+NA:mp:fp
barra-cordense,barra-cordense,A+NA:ms:fs
barra-cordenses,barra-cordense,A+NA:mp:fp
barra-estivense,barra-estivense,A+NA:ms:fs
barra-estivenses,barra-estivense,A+NA:mp:fp
barra-garcense,barra-garcense,A+NA:ms:fs
barra-garcenses,barra-garcense,A+NA:mp:fp
barra-limpa,barra-limpa,A+NA:ms:fs
barra-limpas,barra-limpa,A+NA:mp:fp
barra-longuense,barra-longuense,A+NA:ms:fs
barra-longuenses,barra-longuense,A+NA:mp:fp
barra-mansense,barra-mansense,A+NA:ms:fs
barra-mansenses,barra-mansense,A+NA:mp:fp
barra-pesada,barra-pesada,N+NA:ms:fs
barras-pesadas,barra-pesada,N+NA:mp:fp
barriga-branca,barriga-branca,N+NA:ms
barriga-verde,barriga-verde,A+NA:ms:fs
barriga-verde,barriga-verde,N+NA:ms:fs
barrigas-brancas,barriga-branca,N+NA:mp
barrigas-verdes,barriga-verde,A+NA:mp:fp
barrigas-verdes,barriga-verde,N+NA:mp:fp
bas-fonds,bas-fonds,N+NN:mp
batata-doce,batata-doce,N+NA:fs
batata-inglesa,batata-inglesa,N+NA:fs
batatas-doces,batata-doce,N+NA:fp
batatas-inglesas,batata-inglesa,N+NA:fp
bate-bate,bate-bate,N+VV:ms
bate-bates,bate-bate,N+VV:mp
bate-boca,bate-boca,N+VN:ms
bate-bocas,bate-boca,N+VN:mp
bate-coxa,bate-coxa,N+VN:ms
bate-coxas,bate-coxa,N+VN:mp
bate-enxuga,bate-enxuga,N+VV:ms:mp
bate-estaca,bate-estaca,N+VN:ms
bate-estacas,bate-estaca,N+VN:mp
bate-papo,bate-papo,N+VN:ms
bate-papos,bate-papo,N+VN:mp
bate-pau,bate-pau,N+VN:ms
bate-paus,bate-pau,N+VN:mp
bate-pé,bate-pé,N+VN:ms
bate-pés,bate-pé,N+VN:mp
bates-bates,bate-bate,N+VV:mp
beija-flor,beija-flor,N+VN:ms
beija-flores,beija-flor,N+VN:mp
beija-mão,beija-mão,N+VN:ms
beija-mãos,beija-mão,N+VN:mp
beija-pé,beija-pé,N+VN:ms
beija-pés,beija-pé,N+VN:mp
beira-mar,beira-mar,N+NN:fs
beira-mares,beira-mar,N+NN:fp
beira-rio,beira-rio,N+NN:fs
beira-rios,beira-rio,N+NN:fp
bel-prazer,bel-prazer,N+NN:ms
bel-prazeres,bel-prazer,N+NN:mp
bela-vistense,bela-vistense,A+NA:ms:fs
bela-vistenses,bela-vistense,A+NA:mp:fp
belas-artes,belas-artes,N+AN:fp
belas-letras,belas-letras,N+AN:fp
belo-horizontina,belo-horizontino,A+NA:fs
belo-horizontinas,belo-horizontino,A+NA:fp
belo-horizontino,belo-horizontino,A+NA:ms
belo-horizontinos,belo-horizontino,A+NA:mp
belo-jardinense,belo-jardinense,A+NA:ms:fs
belo-jardinenses,belo-jardinense,A+NA:mp:fp
belo-valense,belo-valense,A+NA:ms:fs
belo-valenses,belo-valense,A+NA:mp:fp
bem-amada,bem-amado,A+ADVA:fs
bem-amadas,bem-amado,A+ADVA:fp
bem-amado,bem-amado,A+ADVA:ms
bem-amados,bem-amado,A+ADVA:mp
bem-aventurada,bem-aventurado,A+ADVA:fs
bem-aventuradamente,bem-aventuradamente,ADV+ADVADV
bem-aventuradas,bem-aventurado,A+ADVA:fp
bem-aventurado,bem-aventurado,A+ADVA:ms
bem-aventurados,bem-aventurado,A+ADVA:mp
bem-aventurança,bem-aventurança,N+ADVN:fs
bem-aventuranças,bem-aventurança,N+ADVN:fp
bem-bom,bem-bom,N+ADVN:ms
bem-estar,bem-estar,N+ADVV:ms
bem-estares,bem-estar,N+ADVV:mp
bem-fadado,bem-fadado,A+ADVA:ms
bem-fadados,bem-fadado,A+ADVA:mp
bem-fazer,bem-fazer,N+ADVV:ms
bem-fazeres,bem-fazer,N+ADVV:mp
bem-feito,bem-feito,A+ADVA:ms
bem-feitos,bem-feito,A+ADVA:mp
bem-humorada,bem-humorado,A+ADVA:fs
bem-humoradamente,bem-humoradamente,ADV+ADVADV
bem-humoradas,bem-humorado,A+ADVA:fp
bem-humorado,bem-humorado,A+ADVA:ms
bem-humorados,bem-humorado,A+ADVA:mp
bem-intencionada,bem-intencionado,A+ADVA:fs
bem-intencionadas,bem-intencionado,A+ADVA:fp
bem-intencionado,bem-intencionado,A+ADVA:ms
bem-intencionados,bem-intencionado,A+ADVA:mp
bem-me-quer,bem-me-quer,N+ADVPRON:ms
bem-me-queres,bem-me-quer,N+ADVPRON:mp
bem-nascido,bem-nascido,A+ADVA:ms
bem-nascidos,bem-nascido,A+ADVA:mp
bem-posta,bem-posto,A+ADVA:fs
bem-postas,bem-posto,A+ADVA:fp
bem-posto,bem-posto,A+ADVA:ms
bem-postos,bem-posto,A+ADVA:mp
bem-querer,bem-querer,N+ADVV:ms
bem-sucedida,bem-sucedido,A+ADVA:fs
bem-sucedidas,bem-sucedido,A+ADVA:fp
bem-sucedido,bem-sucedido,A+ADVA:ms
bem-sucedidos,bem-sucedido,A+ADVA:mp
bem-te-vi,bem-te-vi,N+ADVPROV:ms
bem-te-vis,bem-te-vi,N+ADVPROV:mp
bem-vinda,bem-vindo,A+ADVA:fs
bem-vindas,bem-vindo,A+ADVA:fp
bem-vindo,bem-vindo,A+ADVA:ms
bem-vindos,bem-vindo,A+ADVA:mp
bem-visto,bem-visto,A+ADVA:ms
bem-vistos,bem-visto,A+ADVA:mp
benjamim-constantense,benjamim-constantense,A+NA:ms:fs
benjamim-constantenses,benjamim-constantense,A+NA:mp:fp
bento-abreuense,bento-abreuense,A+NA:ms:fs
bento-abreuenses,bento-abreuense,A+NA:mp:fp
best-seller,best-seller,N+NN:ms
best-sellers,best-seller,N+NN:mp
besta-fera,besta-fera,N+NN:ms:fs
bestas-feras,besta-fera,N+NN:mp:fp
bias-fortense,bias-fortense,A+NA:ms:fs
bias-fortenses,bias-fortense,A+NA:mp:fp
bicha-louca,bicha-louca,N+NA:fs
bichas-loucas,bicha-louca,N+NA:fp
bicho-da-seda,bicho-da-seda,N+NDN:ms
bicho-de-sete-cabeças,bicho-de-sete-cabeças,N+NDDETN:ms
bicho-do-pé,bicho-do-pé,N+NDN:ms
bicho-homem,bicho-homem,N+NN:ms
bicho-papão,bicho-papão,N+NN:ms
bichos-da-seda,bicho-da-seda,N+NDN:mp
bichos-de-sete-cabeças,bicho-de-sete-cabeças,N+NDDETN:mp
bichos-do-pé,bicho-do-pé,N+NDN:mp
bichos-homem,bicho-homem,N+NN:mp
bichos-homens,bicho-homem,N+NN:mp
bichos-papões,bicho-papão,N+NN:mp
bico-de-obra,bico-de-obra,N+NDN:ms
bico-de-papagaio,bico-de-papagaio,N+NDN:ms
bico-de-pato,bico-de-pato,N+NDN:ms
bico-doce,bico-doce,N+NA:ms
bicos-de-obra,bico-de-obra,N+NDN:mp
bicos-de-papagaio,bico-de-papagaio,N+NDN:mp
bicos-de-pato,bico-de-pato,N+NDN:mp
bicos-doces,bico-doce,N+NA:mp
bielo-russo,bielo-russo,A+NA:ms
bielo-russos,bielo-russo,A+NA:mp
bilu-bilu,bilu-bilu,N+NN:ms
bilu-bilus,bilu-bilu,N+NN:mp
bilus-bilus,bilu-bilu,N+NN:mp
blackout,blackout,N+NADV:ms
black tie,black tie,N+NN:ms
