lemma_plural,lemma_singular,classification
infanto-juvenil,infanto-juvenil,A+NA:ms:fs
infanto-juvenis,infanto-juvenil,A+NA:mp:fp
infecto-contagioso,infecto-contagioso,A+NA:ms
infecto-contagiosos,infecto-contagioso,A+NA:mp
infra-estrutura,infra-estrutura,N+XN:fs
infra-estruturas,infra-estrutura,N+XN:fp
inter-raciais,inter-racial,A+XA:mp:fp
inter-racial,inter-racial,A+XA:ms:fs
inter-regionais,inter-regional,A+XA:mp:fp
inter-regional,inter-regional,A+XA:ms:fs
inter-relacionado,inter-relacionado,A+XA:ms
inter-relacionados,inter-relacionado,A+XA:mp
inter-relacionamento,inter-relacionamento,N+XN:ms
inter-relacionamentos,inter-relacionamento,N+XN:mp
inter-relativo,inter-relativo,A+XA:ms
inter-relativos,inter-relativo,A+XA:mp
inter-relação,inter-relação,N+XN:fs
inter-relações,inter-relação,N+XN:fp
intra-ocular,intra-ocular,A+XA:ms:fs
intra-oculares,intra-ocular,A+XA:mp:fp
intra-uterina,intra-uterino,A+XA:fs
intra-uterinamente,intra-uterinamente,ADV+XADV
intra-uterinas,intra-uterino,A+XA:fp
intra-uterino,intra-uterino,A+XA:ms
intra-uterinos,intra-uterino,A+XA:mp
ipê-amarelo,ipê-amarelo,N+NA:ms
ipê-branco,ipê-branco,N+NA:ms
ipês-amarelos,ipê-amarelo,N+NA:mp
ipês-brancos,ipê-branco,N+NA:mp
ir-e-vir,ir-e-vir,N+VCONJV:ms
ires-e-vires,ir-e-vir,N+VCONJV:mp
jacarandá-paulista,jacarandá-paulista,N+NA:ms
jacarandás-paulistas,jacarandá-paulista,N+NA:mp
jardim-de-infância,jardim-de-infância,N+NDN:ms
jardim-de-inverno,jardim-de-inverno,N+NDN:ms
jardins-de-infância,jardim-de-infância,N+NDN:mp
jardins-de-inverno,jardim-de-inverno,N+NDN:mp
jatobá-mirim,jatobá-mirim,N+NA:ms
jatobás-mirins,jatobá-mirim,N+NA:mp
jazz-band,jazz-band,N+AN:ms
jeca-tatu,jeca-tatu,N+NN:ms
jecas-tatus,jeca-tatu,N+NN:mp
jesus-meu-deus,jesus-meu-deus,N+NPRON:ms:mp
jet ski,jet ski,N+NN:ms
ji dong,ji dong,N+NN:ms
ji paraná,ji paraná,N+NN:ms
jiu-jitsu,jiu-jitsu,N+NN:ms
jogo-da-velha,jogo-da-velha,N+NDN:ms
jogos-da-velha,jogo-da-velha,N+NDN:mp
joão-bobo,joão-bobo,N+NA:ms
joão-de-barro,joão-de-barro,N+NDN:ms
joão-ninguém,joão-ninguém,N+NPRO:ms
joão-pestana,joão-pestana,N+NN:ms
joão-pestanas,joão-pestana,N+NN:mp
joão-teimoso,joão-teimoso,N+NA:ms
joões-bobos,joão-bobo,N+NA:mp
joões-de-barro,joão-de-barro,N+NDN:mp
joões-ninguém,joão-ninguém,N+NPRO:mp
joões-pestanas,joão-pestana,N+NN:mp
joões-teimosos,joão-teimoso,N+NA:mp
judeu-cristianismo,judeu-cristianismo,N+NN:ms
judeu-cristianismos,judeu-cristianismo,N+NN:mp
judeu-cristã,judeu-cristão,A+NA:fs
judeu-cristão,judeu-cristão,A+NA:ms
judeu-cristãos,judeu-cristão,A+NA:mp
judeu-cristãs,judeu-cristão,A+NA:fp
juiz-forano,juiz-forano,A+NA:ms
juiz-foranos,juiz-forano,A+NA:mp
juste-milieu,juste-milieu,NAN:ms
jóquei-clube,jóquei-clube,N+NN:ms
jóqueis-clube,jóquei-clube,N+NN:mp
jóqueis-clubes,jóquei-clube,N+NN:mp
knock-out,knock-out,N+VP:ms
know-how,know-how,N+VADV:ms
laco-paco,laco-paco,N+NN:ms
laco-pacos,laco-paco,N+NN:mp
lago-mar,lago-mar,N+NA:ms
lagos-mares,lago-mar,N+NA:mp
laissez-aller,laissez-aller,N+NN:ms
laissez-faire,laissez-faire,N+NN:ms
lambe-lambe,lambe-lambe,N+VV:ms
lambe-lambes,lambe-lambe,N+VV:mp
lança-chamas,lança-chamas,N+VN:ms:mp
lança-perfume,lança-perfume,N+VN:ms
lança-perfumes,lança-perfume,N+VN:mp
lança-torpedos,lança-torpedos,N+VN:ms:mp
laranja-pêra,laranja-pêra,N+NA:fs
laranjas-peras,laranja-pêra,N+NA:fp
laranjas-pêra,laranja-pêra,N+NA:fp
laringofaringe,laringofaringe,N+NN:fs
laterais direito,lateral direito,N+NA:mp
laterais esquerdo,lateral esquerdo,N+NA:mp
lateral direito,lateral direito,N+NA:ms
lateral esquerdo,lateral esquerdo,N+NA:ms
latino-americana,latino-americano,A+NA:fs
latino-americanas,latino-americano,A+NA:fp
latino-americano,latino-americano,A+NA:ms
latino-americanos,latino-americano,A+NA:mp
lava-pratos,lava-pratos,N+VN:ms:mp
lava-pés,lava-pés,N+VN:ms:mp
leite-de-onça,leite-de-onça,N+NDN:ms
leites-de-onça,leite-de-onça,N+NDN:mp
lenço-papel,lenço-papel,N+NA:ms
lenços-papel,lenço-papel,N+NA:mp
lenços-papéis,lenço-papel,N+NA:mp
lero-lero,lero-lero,N+NN:ms
lero-leros,lero-lero,N+NN:mp
lesa-gramática,lesa-gramática,N+NN:fs
lesa-majestade,lesa-majestade,N+NN:fs
lesa-pátria,lesa-pátria,N+NN:fs
lesas-gramáticas,lesa-gramática,N+NN:fp
lesas-majestades,lesa-majestade,N+NN:fp
lesas-pátrias,lesa-pátria,N+NN:fp
leva-e-traz,leva-e-traz,N+VCONJV:ms:mp:fs:fp
leão-de-chácara,leão-de-chácara,N+NDN:ms
leões-de-chácara,leão-de-chácara,N+NDN:mp
licença-maternidade,licença-maternidade,N+NN:fs
licença-prêmio,licença-prêmio,N+NN:fs
licenças-maternidade,licença-maternidade,N+NN:fp
licenças-prêmio,licença-prêmio,N+NN:fp
licenças-prêmios,licença-prêmio,N+NN:fp
limpa-pratos,limpa-pratos,N+VN:ms:mp
limpa-pés,limpa-pés,N+VN:ms:mp
limpa-trilhos,limpa-trilhos,N+VN:ms:mp
limão-galego,limão-galego,N+NA:ms
limões-galegos,limão-galego,N+NA:mp
linguagem-objeto,linguagem-objeto,N+NN:fs
linguagens-objeto,linguagem-objeto,N+NN:fp
linguagens-objetos,linguagem-objeto,N+NN:fp
linha-dura,linha-dura,N+NA:ms:fs
linha-duras,linha-dura,N+NA:mp:fp
livre-arbítrio,livre-arbítrio,N+AN:ms
livre-cambista,livre-cambista,A+AN:ms:fs
livre-cambistas,livre-cambista,A+AN:mp:fp
livre-cultismo,livre-cultismo,N+AN:ms
livre-cultista,livre-cultista,A+AN:ms:fs
livre-cultista,livre-cultista,N+AN:ms:fs
livre-câmbio,livre-câmbio,N+AN:ms
livre-docente,livre-docente,A+AN:ms:fs
livre-docente,livre-docente,N+AN:ms:fs
livre-docência,livre-docência,N+AN:fs
livre-pensador,livre-pensador,N+AN:ms
livre-troca,livre-troca,N+AN:fs
livres-arbítrios,livre-arbítrio,N+AN:mp
livres-cultismos,livre-cultismo,N+AN:mp
livres-cultistas,livre-cultista,A+AN:mp:fp
livres-cultistas,livre-cultista,N+AN:mp:fp
livres-câmbios,livre-câmbio,N+AN:mp
livres-docentes,livre-docente,A+AN:mp:fp
livres-docentes,livre-docente,N+AN:mp:fp
livres-docências,livre-docência,N+AN:fp
livres-pensadores,livre-pensador,N+AN:mp
livres-trocas,livre-troca,N+AN:fp
livro-caixa,livro-caixa,N+NA:ms
livros-caixa,livro-caixa,N+NA:mp
long-play,long-play,N+AN:ms
long-playing,long-playing,A+AN:ms:fs
longa-metragem,longa-metragem,N+AN:ms
longas-metragens,longa-metragem,N+AN:mp
louva-a-deus,louva-a-deus,N+VPN:ms:mp
lua-de-mel,lua-de-mel,N+NDN:fs
lufa-lufa,lufa-lufa,N+NN:fs
lufa-lufas,lufa-lufa,N+NN:fp
lugar-comum,lugar-comum,N+NA:ms
lugares-comuns,lugar-comum,N+NA:mp
lusco-fusco,lusco-fusco,N+NA:ms
lusco-fuscos,lusco-fusco,N+NA:mp
luso-africana,luso-africano,A+NA:fs
luso-africanas,luso-africano,A+NA:fp
luso-africano,luso-africano,A+NA:ms
luso-africanos,luso-africanos,A+NA:mp
luso-brasileira,luso-brasileiro,A+NA:fs
luso-brasileiras,luso-brasileiro,A+NA:fp
luso-brasileiro,luso-brasileiro,A+NA:ms
luso-brasileiros,luso-brasileiro,A+NA:mp
lustra-móveis,lustra-móveis,N+VN:ms:mp
luze-luze,luze-luze,N+NN:ms
luze-luzes,luze-luze,N+NN:mp
luzes-luzes,luze-luze,N:mp
lápis-lazúli,lápis-lazúli,N+NN:ms
lápis-tinta,lápis-tinta,N+NN:mp
lápis-tintas,lápis-tinta,N+NN:mp
língua-de-sogra,língua-de-sogra,N+NDN:fs
língua-suja,língua-suja,N+NA:ms:fs
línguas-de-sogra,língua-de-sogra,N+NDN:fp
línguas-sujas,língua-suja,N+NA:mp:fp
macaca-de-auditório,macaca-de-auditório,N+NDN:fs
macacas-de-auditório,macaca-de-auditório,N+NDN:fp
macho-e-fêmea,macho-e-fêmea,A+NCONJN:ms:fs
macho-e-fêmea,macho-e-fêmea,N+NCONJN:ms
machos-e-fêmeas,macho-e-fêmea,A+NCONJN:mp:fp
machos-e-fêmeas,macho-e-fêmea,N+NCONJN:mp
mais-que-perfeito,mais-que-perfeito,A+ADVPROA:ms
mais-que-perfeitos,mais-que-perfeitos,A+ADVPROA:mp
mais-valia,mais-valia,N+ADVN:fs
mais-valias,mais-valia,N+ADVN:fp
make-up,make-up,N+VP:ms
mal-acabada,mal-acabado,A+ADVA:fs
mal-acabadas,mal-acabado,A+ADVA:fp
mal-acabado,mal-acabado,A+ADVA:ms
mal-acabados,mal-acabado,A+ADVA:mp
mal-acostumado,mal-acostumado,A+ADVA:ms
mal-acostumados,mal-acostumado,A+ADVA:mp
mal-agradecida,mal-agradecido,A+ADVA:fs
mal-agradecidas,mal-agradecido,A+ADVA:fp
mal-agradecido,mal-agradecido,A+ADVA:ms
mal-agradecidos,mal-agradecido,A+ADVA:mp
mal-ajeitado,mal-ajeitado,A+ADVA:ms
mal-ajeitados,mal-ajeitado,A+ADVA:mp
mal-amada,mal-amada,A+ADVA:fs
mal-amadas,mal-amadas,A+ADVA:fp
mal-apessoada,mal-apessoado,A+ADVA:fs
mal-apessoadas,mal-apessoado,A+ADVA:fp
mal-apessoado,mal-apessoado,A+ADVA:ms
mal-apessoados,mal-apessoado,A+ADVA:mp
mal-arranjada,mal-arranjado,A+ADVA:fs
mal-arranjadas,mal-arranjado,A+ADVA:fp
mal-arranjado,mal-arranjado,A+ADVA:ms
mal-arranjados,mal-arranjado,A+ADVA:mp
mal-assombrada,mal-assombrado,A+ADVA:fs
mal-assombradas,mal-assombrado,A+ADVA:fp
mal-assombrado,mal-assombrado,A+ADVA:ms
mal-assombrados,mal-assombrado,A+ADVA:mp
mal-aventurado,mal-aventurado,A+ADVA:ms
mal-aventurados,mal-aventurado,A+ADVA:mp
mal-de-amores,mal-de-amores,N+NDN:ms
mal-de-coito,mal-de-coito,N+NDN:ms
mal-de-engasgo,mal-de-engasgo,N+NDN:ms
mal-de-lázaro,mal-de-lázaro,N+NDN:ms
mal-de-sete-dias,mal-de-sete-dias,N+NDDETN:ms
mal-dos-peitos,mal-dos-peitos,N+NDN:ms
mal-educada,mal-educado,A+ADVA:fs
mal-educadas,mal-educado,A+ADVA:fp
mal-educado,mal-educado,A+ADVA:ms
mal-educados,mal-educado,A+ADVA:mp
mal-empregado,mal-empregado,A+ADVA:ms
mal-empregados,mal-empregado,A+ADVA:mp
mal-encarada,mal-encarado,A+ADVA:fs
mal-encaradas,mal-encarado,A+ADVA:fp
mal-encarado,mal-encarado,A+ADVA:ms
mal-encarados,mal-encarado,A+ADVA:mp
mal-entendida,mal-entendido,A+ADVA:fs
mal-entendidas,mal-entendido,A+ADVA:fp
mal-entendido,mal-entendido,A+ADVA:ms
mal-entendidos,mal-entendido,A+ADVA:mp
mal-estar,mal-estar,N+ADVN:ms
mal-estares,mal-estar,N+ADVN:mp
mal-humorada,mal-humorado,A+ADVA:fs
mal-humoradas,mal-humorado,A+ADVA:fp
mal-humorado,mal-humorado,A+ADVA:ms
mal-humorados,mal-humorado,A+ADVA:mp
mal-intencionado,mal-intencionado,A+ADVA:ms
mal-intencionados,mal-intencionado,A+ADVA:mp
malmequer,malmequer,N+ADVPRON:ms
malmequeres,malmequer,N+ADVPRON:mp
mal-ouvido,mal-ouvido,A+ADVA:ms
mal-ouvidos,mal-ouvido,A+ADVA:mp
mala-posta,mala-posta,N+NA:fs
malas-postas,mala-posta,N+NA:fp
males-de-amores,mal-de-amores,N+NDN:mp
males-de-coito,mal-de-coito,N+NDN:mp
males-de-engasgo,mal-de-engasgo,N+NDN:mp
males-de-lázaro,mal-de-lázaro,N+NDN:mp
males-de-sete-dias,mal-de-sete-dias,N+NDDETN:mp
males-dos-peitos,mal-dos-peitos,N+NDN:mp
mamão-macho,mamão-macho,N+NA:ms
mamões-machos,mamão-macho,N+NA:mp
mana-chica,mana-chica,N+NN:fs
mana-chicas,mana-chica,N+NN:fp
mana-joana,mana-joana,N+NN:fs
mana-joanas,mana-joana,N+NN:fp
manas-chicas,mana-chica,N+NN:fp
manas-joanas,mana-joana,N+NN:fp
mancha-roxa,mancha-roxa,N+NA:fs
manchas-roxas,mancha-roxa,N+NA:fp
manda-chuva,manda-chuva,N+VN:ms:fs
manda-chuvas,manda-chuva,N+VN:mp:fp
mandioca-doce,mandioca-doce,N+NA:fs
mandiocas-doces,mandioca-doce,N+NA:fp
manga-larga,manga-larga,A+NA:ms:fs
manga-larga,manga-larga,N+NA:ms
manga-rosa,manga-rosa,N+NN:fs
mangas-largas,manga-larga,A+NA:mp:fp
mangas-largas,manga-larga,N+NA:mp
mangas-rosa,manga-rosa,N+NN:fp
mangas-rosas,manga-rosa,N+NN:fp
manjar-branco,manjar-branco,N+NA:ms
manjares-brancos,manjar-branco,N+NA:mp
mané-gostoso,mané-gostoso,N+NA:ms
manés-gostosos,mané-gostoso,N+NA:mp
maníaco-depressivo,maníaco-depressivo,A+NA:ms
maníaco-depressivos,maníaco-depressivos,A+NA:mp
mapa-múndi,mapa-múndi,N+NA:ms
mapas-múndi,mapa-múndi,N+NA:mp
marca-pés,marca-pés,N+VN:ms:mp
marechais-do-ar,marechal-do-ar,N+NDN:mp
marechal-do-ar,marechal-do-ar,N+NDN:ms
maria-chiquinha,maria-chiquinha,N+NN:fs
maria-fumaça,maria-fumaça,N+NN:ms:fs
maria-mole,maria-mole,N+NA:fs
maria-vai-com-as-outras,maria-vai-com-as-outras,N+NVCONJDETPRO:ms:mp:fs:fp
marias-chiquinhas,maria-chiquinha,N+NN:fp
marias-fumaça,maria-fumaça,N+NN:mp:fp
marias-fumaças,maria-fumaça,N+NN:mp:fp
marias-moles,maria-mole,N+NA:fp
marxismo-leninismo,marxismo-leninismo,N+NN:ms
marxismos-leninismos,marxismo-leninismo,N+NN:mp
marxista-leninista,marxista-leninista,A+NA:ms:fs
marxista-leninistas,marxista-leninista,A+NA:mp:fp
massa-bruta,massa-bruta,N+NA:ms:fs
massas-brutas,massa-bruta,N+NA:mp:fp
mata-bicho,mata-bicho,N+VN:ms
mata-bichos,mata-bicho,N+VN:mp
mata-borrão,mata-borrão,N+VN:ms
mata-borrões,mata-borrão,N+VN:mp
mata-burro,mata-burro,N+VN:ms
mata-burros,mata-burro,N+VN:mp
mata-fome,mata-fome,N+VN:ms
mata-fomes,mata-fome,N+VN:mp
mata-moscas,mata-moscas,N+VN:ms:mp
mata-mosquito,mata-mosquito,N+VN:ms
mata-mosquitos,mata-mosquito,N+VN:mp
mata-mouros,mata-mouros,N+VN:ms:mp
mata-pau,mata-pau,N+NN:ms
mata-paus,mata-pau,N+NN:mp
mata-piolho,mata-piolho,N+VN:ms
mata-piolhos,mata-piolho,N+VN:mp
mata-ratos,mata-ratos,A+VN:ms:mp:fs:fp
mata-sanos,mata-sanos,N+VN:ms:mp
mato-grossense,mato-grossense,A+NA:ms:fs
mato-grossense-do-sul,mato-grossense-do-sul,A+NADN:ms:fs
mato grossenses,mato grossense,A:mp:fp
mato-grossenses-do-sul,mato-grossense-do-sul,A+NADN:mp:fp
matéria-prima,matéria-prima,N+NA:fs
matérias-primas,matéria-prima,N+NA:fp
mau-caráter,mau-caráter,N+AN:ms
mau-olhado,mau-olhado,N+AN:ms
maus-caracteres,mau-caráter,N+AN:mp
maus-olhados,mau-olhado,N+AN:mp
maus-tratos,maus-tratos,N+AN:mp
meia-armador,meia-armador,N+AN:ms
meia-calça,meia-calça,N+AN:fs
meia-cana,meia-cana,N+AN:fs
meia-cara,meia-cara,N+AN:ms:fs
meia-direita,meia-direita,N+AN:ms:fs
meia-entrada,meia-entrada,N+AN:fs
meia-esquerda,meia-esquerda,N+AN:ms:fs
meia-estação,meia-estação,N+AN:fs
meia-idade,meia-idade,N+AN:fs
meia-lua,meia-lua,N+AN:fs
meia-luz,meia-luz,N+AN:fs
meia-noite,meia-noite,N+AN:fs
meia-pataca,meia-pataca,N+AN:fs
meia-sola,meia-sola,N+AN:fs
meia-sombra,meia-sombra,N+AN:fs
meia-tinta,meia-tinta,N+AN:fs
meia-volta,meia-volta,N+AN:fs
meia-água,meia-água,N+AN:fs
meias-armadores,meia-armador,N+AN:mp
meias-calças,meia-calça,N+AN:fp
meias-canas,meia-cana,N+AN:fp
meias-caras,meia-cara,N+AN:mp:fp
meias-direitas,meia-direita,N+AN:mp:fp
meias-entradas,meia-entrada,N+AN:fp
meias-esquerdas,meia-esquerda,N+AN:mp:fp
meias-estações,meia-estação,N+AN:fp
meias-idades,meia-idade,N+AN:fp
meias-luas,meia-lua,N+AN:fp
meias-luzes,meia-luz,N+AN:fp
meias-noites,meia-noite,N+AN:fp
meias-patacas,meia-pataca,N+AN:fp
meias-solas,meia-sola,N+AN:fp
meias-sombras,meia-sombra,N+AN:fp
meias-tintas,meia-tinta,N+AN:fp
meias-voltas,meia-volta,N+AN:fp
meias-águas,meia-água,N+AN:fp
meio atacante,meio atacante,N+AN:ms:fs
meio atacantes,meio atacante,N+AN:mp:fp
meio-busto,meio-busto,N+AN:ms
meio-campista,meio-campista,N+AN:ms:fs
meio-campistas,meio-campista,N+AN:mp:fp
meio-campo,meio-campo,N+AN:ms
meio-campos,meio-campo,N+AN:mp
meio-de-campo,meio-de-campo,N+NDN:ms
meio de rede,meio de rede,N+NDN:ms:fs
meio-dia,meio-dia,N+AN:ms
meio-fio,meio-fio,N+AN:ms
meio-médio,meio-médio,A+AN:ms
meio-médios,meio-médios,A+AN:mp
meio-quilo,meio-quilo,N+AN:ms
meio-sono,meio-sono,N+AN:ms
meio-soprano,meio-soprano,N+AN:ms
meio-termo,meio-termo,N+AN:ms
meio-tom,meio-tom,N+AN:ms
meios-bustos,meio-busto,N+AN:mp
meios-campos,meio-campo,N+AN:mp
meios-de-campo,meio-de-campo,N+NDN:mp
meios de rede,meio de rede,N+NDN:mp:fp
meios-dias,meio-dia,N+AN:mp
meios-fios,meio-fio,N+AN:mp
meios-quilos,meio-quilo,N+AN:mp
meios-sonos,meio-sono,N+AN:mp
meios-sopranos,meio-soprano,N+AN:mp
meios-termos,meio-termo,N+AN:mp
meios-tons,meio-tom,N+AN:mp
mel-de-pau,mel-de-pau,N+NDN:ms
mela-mela,mela-mela,N+VV:ms:mp
menina-moça,menina-moça,N+NN:fs
meninas-moças,menina-moça,N+NN:fp
menino-branco,menino-branco,N+NA:ms
meninos-brancos,menino-branco,N+NA:mp
mercedes benz,mercedes benz,N+NN:ms:fs
mesa-de-cabeceira,mesa-de-cabeceira,N+NDN:fs
mesa-redonda,mesa-redonda,N+NA:fs
mesa-tenista,mesa-tenista,N+NN:ms:fs
mesa-tenistas,mesa-tenista,N+NN:mp:fp
mesas-de-cabeceira,mesa-de-cabeceira,N+NDN:fp
mesas-redondas,mesa-redonda,N+NA:fp
meses-de-maria,mês-de-maria,N+NDN:mp
mesinha-de-cabeceira,mesa-de-cabeceira,N+NDN:fs
mesinhas-de-cabeceira,mesa-de-cabeceira,N+NDN:fp
mestre-cuca,mestre-cuca,N+NN:ms
mestre-cuco,mestre-cuco,N+NN:ms
mestre-de-armas,mestre-de-armas,N+NDN:ms
mestre-de-cerimônias,mestre-de-cerimônias,N+NDN:ms
mestre-de-obras,mestre-de-obras,N+NDN:ms
mestre-escola,mestre-escola,N+NN:ms
mestre-sala,mestre-sala,N+NN:ms
mestres-cucas,mestre-cuca,N+NN:mp
mestres-cucos,mestre-cuco,N+NN:mp
mestres-de-armas,mestre-de-armas,N+NDN:mp
mestres-de-cerimônias,mestre-de-cerimônias,N+NDN:mp
mestres-de-obras,mestre-de-obras,N+NDN:mp
mestres-escolas,mestre-escola,N+NN:mp
mestres-salas,mestre-sala,N+NN:mp
mexe-mexe,mexe-mexe,N+VV:ms
mexe-mexes,mexe-mexe,N+VV:mp
mexes-mexes,mexe-mexe,N+VV:mp
micareta,micareta,N+AN:fs
mi-carême,mi-carême,N+NN:fs
mico-leão,mico-leão,N+NN:ms
mico-leão-dourado,mico-leão-dourado,N+NNA:ms
mico-preto,mico-preto,N+NA:ms
micos-leões,mico-leão,N+NN:mp
micos-leões-dourados,mico-leão-dourado,N+NNA:mp
micos-pretos,mico-preto,N+NA:mp
microempresa,microempresa,N+NN:fs
microempresas,microempresa,N+NN:fp
mil-réis,mil-réis,A+DETN:ms:mp:fs:fp
milk-shake,milk-shake,N+NN:ms
ministra relatora,ministro relator,N+NA:fs
ministras relatoras,ministro relator,N+NA:fp
ministro relator,ministro relator,N+NA:ms
ministros relatores,ministro relator,N+NA:mp
mise-en-plis,mise-en-plis,N+VPN:ms:fs
misto-quente,misto-quente,N+NA:ms
mistos-quentes,misto-quente,N+NA:mp
moeda-ouro,moeda-ouro,N+NN:fs
moeda-papel,moeda-papel,N+NN:fs
moedas-ouro,moeda-ouro,N+NN:fp
moedas-ouros,moeda-ouro,N+NN:fp
moedas-papel,moeda-papel,N+NN:fp
moedas-papéis,moeda-papel,N+NN:fp
molécula-grama,molécula-grama,N+NN:fs
moléculas-grama,molécula-grama,N+NN:fp
moléculas-gramas,molécula-grama,N+NN:fp
montanha-russa,montanha-russa,N+NA:fs
montanhas-russas,montanha-russa,N+NA:fp
morde-e-assopra,morde-e-assopra,N+VCONJV:ms:mp:fs:fp
moreno-mate,moreno-mate,A+NA:ms:mp:fs:fp
mosca-morta,mosca-morta,N+NA:ms:fs
mosca-varejeira,mosca-varejeira,N+NN:fs
moscas-mortas,moscas-mortas,N+NA:mp:fp
moscas-varejeiras,mosca-varejeira,N+NN:fp
moça-dama,moça-dama,N+NN:fs
moças-damas,moça-dama,N+NN:fp
ms dos,ms dos,N+XX:ms:mp
mula-sem-cabeça,mula-sem-cabeça,N+NPN:fs
mulas-sem-cabeça,mula-sem-cabeça,N+NPN:fp
mulher-dama,mulher-dama,N+NN:fs
mulher-de-gamela,mulher-de-gamela,N+NDN:fs
mulher-homem,mulher-homem,N+NN:fs
mulher-macho,mulher-macho,N+NA:fs
mulher-objeto,mulher-objeto,N+NN:fs
mulheres-damas,mulher-dama,N+NN:fp
mulheres-de-gamela,mulher-de-gamela,N+NDN:fp
mulheres-homem,mulher-homem,N+NN:fp
mulheres-homens,mulher-homem,N+NN:fp
mulheres-machos,mulher-macho,N+NA:fp
mulheres-objeto,mulher-objeto,N+NN:fp
mulheres-objetos,mulher-objeto,N+NN:fp
munheca-de-pau,munheca-de-pau,N+NDN:ms:fs
munhecas-de-pau,munhecas-de-pau,N+NDN:mp:fp
music hall,music hall,N+NN:ms
má-criação,má-criação,N+AN:fs
má-criações,má-criação,N+AN:fp
má-formação,má-formação,N+AN:fs
má-fé,má-fé,N+AN:fs
má-lingua,má-lingua,N+AN:fs
más-criações,má-criação,N+AN:fp
más-formações,má-formação,N+AN:fp
más-fés,má-fé,N+AN:fp
más-línguas,má-lingua,N+AN:fp
mãe-benta,mãe-benta,N+NA:fs
mãe-de-santo,mãe-de-santo,N+NDN:fs
mães-bentas,mãe-benta,N+NA:fp
mães-de-santo,mãe-de-santo,N+NA:fp
mão-aberta,mão-aberta,N+NA:ms:fs
mão-boba,mão-boba,N+NA:fs
mão-cheia,mão-cheia,N+NA:fs
mão-de-obra,mão-de-obra,N+NDN:fs
mão-de-onze,mão-de-onze,N+NDDET:fs
mão-de-padre,mão-de-padre,N+NDN:ms
mão-de-vaca,mão-de-vaca,N+NDN:fs
mão-leve,mão-leve,N+NA:ms:fs
mão-morta,mão-morta,N+NA:fs
mão-pendente,mão-pendente,N+NA:fs
mão-posta,mão-posta,N+NA:fs
mãos-abertas,mão-aberta,N+NA:mp:fp
mãos-atadas,mãos-atadas,N+NA:ms:mp:fs:fp
mãos-cheias,mão-cheia,N+NA:fp
mãos-de-obra,mão-de-obra,N+NDN:fp
mãos-de-onze,mão-de-onze,N+NDDET:fp
mãos-de-padre,mão-de-padre,N+NDN:mp
mãos-de-vaca,mão-de-vaca,N+NDN:fp
mãos-leves,mão-leve,N+NA:mp:fp
mãos-mortas,mão-morta,N+NA:fp
mãos-pendentes,mão-pendente,N+NA:fp
mãos-postas,mão-posta,N+NA:fp
mãos-rotas,mãos-rotas,N+NA:ms:mp:fs:fp
médico-cirurgião,médico-cirurgião,N+NN:ms
médico-hospitalar,médico-hospitalar,A+NA:ms:fs
médico-hospitalares,médico-hospitalar,A+NA:mp:fp
médico-legais,médico-legal,A+NA:mp:fp
médico-legal,médico-legal,A+NA:ms:fs
médicos-cirurgiães,médico-cirurgião,N+NN:mp
médicos-cirurgiões,médico-cirurgião,N+NN:mp
méis-de-pau,mel-de-pau,N+NDN:mp
mês-de-maria,mês-de-maria,N+NDN:ms
nacional-socialismo,nacional-socialismo,N+AN:ms
nacional-socialismos,nacional-socialismo,N+AN:mp
nacional-socialista,nacional-socialista,A+AA:ms:fs
nada-consta,nada-consta,N+PROV:ms:mp
natureza-morta,natureza-morta,N+NA:fs
naturezas-mortas,natureza-morta,N+NA:fp
navio-transporte,navio-transporte,N+NN:ms
navios-transporte,navio-transporte,N+NN:mp
navios-transportes,navio-transporte,N+NN:mp
nazi-fascista,nazi-fascista,A+NA:ms:fs
nazi-fascistas,nazi-fascista,A+NA:mp:fp
neo-realismo,neo-realismo,N+XN:ms
neo-realismos,neo-realismo,N+XN:mp
neo-realista,neo-realista,A+XA:ms:fs
neo-realistas,neo-realista,A+XA:mp:fp
neo-republicano,neo-republicano,A+XA:ms
neo-republicanos,neo-republicano,A+XA:mp
neo-república,neo-república,N+XN:fs
neo-repúblicas,neo-república,N+XN:fp
nhô-chico,nhô-chico,N+NN:ms
nhô-chicos,nhô-chico,N+NN:mp
nhôs-chicos,nhô-chico,N+NN:mp
nipo-brasileira,nipo-brasileiro,A+NA:fs
nipo-brasileiras,nipo-brasileiro,A+NA:fp
nipo-brasileiro,nipo-brasileiro,A+NA:ms
nipo-brasileiros,nipo-brasileiro,A+NA:mp
nipo-britânica,nipo-britânico,A+NA:fs
nipo-britânicas,nipo-britânico,A+NA:fp
nipo-britânico,nipo-britânico,A+NA:ms
nipo-britânicos,nipo-britânico,A+NA:mp
no-la,no-lo,PRO+PDem:fs
no-las,no-lo,PRO+PDem:fp
no-lo,no-lo,PRO+PDem:ms
no-los,no-lo,PRO+PDem:mp
nome-do-padre,nome-do-padre,N+NDN:ms
nomes-do-padre,nome-do-padre,N+NDN:mp
norte-americana,norte-americano,A+NA:fs
norte-americanas,norte-americano,A+NA:fp
norte-americano,norte-americano,A+NA:ms
norte-americanos,norte-americano,A+NA:mp
norte-coreana,norte-coreano,A+NA:fs
norte-coreanas,norte-coreano,A+NA:fp
norte-coreano,norte-coreano,A+NA:ms
norte-coreanos,norte-coreano,A+NA:mp
