canonical_form,graph_id
alagoinhense,A301
alanceado,A201
alangiáceo,A201
alar,A303
alaranjado,A201
alardeador,A218
alargado,A201
alargador,A218
alarife,A301
alarmado,A201
alarmante,A301
alarmista,A301
alarmável,A308
alasquense,A301
alastrado,A201
alazão,A224
albano,A201
albanês,A228
albergado,A201
albicastrense,A301
albicaule,A301
albigense,A301
albinervado,A201
albinerve,A301
albino,A201
albocinéreo,A201
albuminado,A201
albuminoso,A201
albuminóide,A301
alcacerense,A301
alcalino,A201
alcanforável,A308
alcantarense,A301
alcantilense,A301
alcançado,A201
alcançável,A308
alcobacense,A301
alcoólico,A201
alcunhado,A201
aldeense,A301
aldeão,A253
aleatório,A201
alegado,A201
alegrado,A201
alegre,A301D081
alegrense,A301
alegretense,A301
alegriense,A301
alegável,A308
alegórico,A201
aleijado,A201
aleivoso,A201
alemão,A226D001
alenquerense,A301
alentador,A218
alentejano,A201
alequeado,A201
alerta,A301
alexandriense,A301
alexandrino,A201
alfabetizado,A201
alfabetizador,A218
alfabetizante,A301
alfabético,A201
alfandegário,A201
alfanumérico,A201
alfenense,A301
alfinetado,A201
alforriado,A201
alfredense,A301
algarviense,A301
algebrizável,A308
algorítmico,A201
algostático,A201
algum,A233
algébrico,A201
alhandrense,A301
alheado,A201
alheatório,A201
alheio,A201
alheável,A308
aliado,A201
aliancense,A301
alicerçado,A201
alicerçável,A308
aliciado,A201
aliciador,A218
alienado,A201
alienador,A218
alienante,A301
alienista,A301
alienável,A308
alienígena,A301
alifático,A201
alimentado,A201
alimentador,A218
alimentar,A303
alimentício,A201
alinhado,A201
alisado,A201
alisador,A218
alismatáceo,A201
alistado,A201
alistável,A308
aliviado,A201
aliviável,A308
aliável,A308
almaça,A101
almaço,A201
almeidense,A301
almejado,A201
almejante,A301
almejável,A308
almirantado,A201
alodiplóide,A301
alopoliplóide,A301
alopático,A201
alotrópico,A201
alpense,A301
alpinista,A301
alpino,A201D081
alpinopolense,A301
alquebrado,A201
alquímico,A201
altaico,A201
altamirense,A301
altaneiro,A201
alteado,A201
altense,A301
alterado,A201
alternado,A201
alternador,A218
alternante,A301
alternativo,A201
alternifloro,A201
alterniflóreo,A201
alternifoliado,A201
alternifólio,A201
alternipenado,A201
alternipétalo,A201
alternissépalo,A201
alterno,A201
alternípene,A301
alterosense,A301
alteroso,A201
alterável,A308
altiloqüente,A301S03
altinense,A301
altinopolense,A301
altissonante,A301
altista,A301
altivo,A201
alto,A201D081S03
altruísta,A301
altruístico,A201
altuense,A301
alucinado,A201
alucinador,A218
alucinante,A301
alucinatório,A201
alucinógeno,A201
alugado,A201
alumiado,A201
aluminoso,A201
alusivo,A201
aluvial,A308
aluído,A201
alvacento,A201
alvejado,A201
alvejante,A301
alvense,A301
alveolar,A303
alvinegro,A201
alvinopolense,A301
alvirrubro,A201
alvissareiro,A201
alvitrado,A201
alvitrador,A218
alviverde,A301
alvo,A201D081S03
alvorecido,A201
alvoroçado,A201
alvoroçável,A308
alçado,A201
alérgico,A201
alísio,A201
alóctone,A301
alógeno,A201
alógico,A201
alótropo,A201
amaciado,A201
amaciador,A218
amado,A201D081
amador,A218
amadorista,A301
amaldiçoado,A201
amaldiçoador,A218
amalgamado,A201
amalgamador,A218
amamentador,A218
amaneirado,A201
amansador,A218
amante,A301S03
amanteigado,A201
amanuense,A301
amapaense,A301
amarantáceo,A201
amarelecido,A201
amarelento,A201
amarelo,A201D081A27
amargado,A201
amargo,A201D101S62
amargosense,A301
amargoso,A201
amargurado,A201
amarilidáceo,A201
amaro,A201
amarrado,A201A27
amarronzado,A201
amarrotável,A308
amassado,A201D081
amazonense,A301
amazônico,A201
ambaiense,A301
ambarino,A201
ambicioso,A201S03
ambidestro,A201
ambiental,A308
ambientalista,A301
ambiente,A301
ambientável,A308
ambivalente,A301
ambos,A254
ambulante,A301
ambulatorial,A308
ambulatório,A201
ambíguo,A201
ambíparo,A201
ameaçado,A201S03
ameaçador,A218
ameaçante,A301
amebiano,A201
amebóide,A301
amedrontado,A201
amedrontador,A218
amedrontável,A308
amendoado,A201
amenizado,A201
ameno,A201
amentiforme,A301
amentáceo,A201
amentífero,A201
americanense,A301
americanizável,A308
americano,A201S03
ameríndio,A201
amestrado,A201
amestrador,A218
amical,A308
amictico,A201
amidalino,A201
amidalítico,A201
amidalóide,A301
amidoado,A201
amigo,A201D101S63A61
amigável,A308
amilífero,A201
amimado,A201
amimador,A218
amissível,A308
amistoso,A201D026
amnistiável,A308
amniótico,A201
amnésico,A201
amoedável,A308
amolado,A201
amolador,A218
amolante,A301
amoldado,A201
amoldável,A308
amolecido,A201
amolentado,A201
amolgado,A201
amolgável,A308
amoniacal,A308
amontoado,A201
amoral,A308
amoreirense,A301
amorfo,A201
amorfófito,A201
amoroso,A201
amortalhado,A201
amortalhável,A308
amortecedor,A218
amortecido,A201
amortizável,A308
amorável,A308
amotinado,A201
amotinador,A218
amotinável,A308
amovível,A308
amparado,A201
amparense,A301
amparável,A308
ampletivo,A201
amplexicaule,A301
amplexifloro,A201
amplexifoliado,A201
amplexifólio,A201
ampliado,A201
ampliador,A218
ampliativo,A201
amplificador,A218
amplificativo,A201
amplificável,A308
ampliável,A308
amplo,A201S03
amputador,A218
amuado,A201
amulherado,A201
amável,A308S23
amórfico,A201
anabólico,A201
anacarado,A201
anacardiáceo,A201
anacrônico,A201
anacrústico,A201
anadiense,A301
anaeróbico,A201
anaeróbio,A201
anafado,A201
anafilático,A201
anafórico,A201
anagaláctico,A201
anagramático,A201
anajaense,A301
anajatubense,A301
anajá,A301
anal,A308
analandense,A301
analfabeto,A201
analgésico,A201
analisado,A201
analisador,A218
analisável,A308
analítico,A201
analógico,A201
ananindeuense,A301
anantero,A201
anarquista,A301
anarquizado,A201
anastomosado,A201
anatomista,A301
anatídeo,A201
anatômico,A201
anavalhado,A201
ancarense,A301
ancestral,A308
anchietense,A301
ancião,A253
andador,A218
andadora,A101
andaluz,A218
andante,A301
andaraiense,A301
andejo,A201
andino,A201
andorrense,A301
andradense,A301
andradinense,A301
andrajoso,A201
andreense,A301
andrelandense,A301
andrológico,A201
andrófobo,A201
andrógeno,A201
andrógino,A201
andável,A308
anedótico,A201
anelado,A201
anelante,A301
anelar,A303
aneliforme,A301
anelídeo,A201
anemológico,A201
anemométrico,A201
anemófilo,A201
anemógamo,A201
aneróide,A301
anestesiante,A301
anestésico,A201
aneurismático,A201
anexador,A218
anexo,A201
anfibológico,A201
anfifloemático,A201
anfiflóico,A201
anfifílico,A201
anfigônico,A201
anfioxo,A201
anfiprótico,A201
anfipático,A201
anfivasal,A308
anfractuoso,A201
anfíbio,A201
anfígeno,A201
angariador,A218
angelical,A308
angelinense,A301
angicalense,A301
angiográfico,A201
angiológico,A201
angiopático,A201
angiosperma,A234
angiospermo,A201
angiospérmico,A201
anglicanizável,A308
anglicano,A201
anglo,A201
angolano,A201
angolense,A301
angorá,A301
angrense,A301
angular,A303
anguloso,A201
angustiado,A201
angustiante,A301
angustifoliado,A201
angustifólio,A201
angustioso,A201
angustiável,A308
angélico,A201
anhanguense,A301
anhembiense,A301
anhumense,A301
anicuense,A301
anidro,A201
anil,A306
animado,A201D081S03
animador,A218
animal,A308A33
animalesco,A201
animista,A301
animoso,A201
animável,A308
aninhado,A201
aniquilado,A201
anisanto,A201
anisocéfalo,A201
anisostêmone,A301
anisotrópico,A201
anistiado,A201
anistiável,A308
anisóptero,A201
anisômero,A201
aniversariante,A301
aniversário,A201
aniônico,A201
anomalifloro,A201
anonáceo,A201
anorgânico,A201
anoriense,A301
anormal,A308
anorretal,A308
anoso,A201
anotador,A218
anseriforme,A301
ansioso,A201
antagonista,A301
antagônico,A201
antecedente,A301
antecerotáceo,A201
antecipatório,A201
antecipável,A308
antediluviano,A201
antegozável,A308
antenado,A201
antense,A301
antenupcial,A308
antepeitoral,A308
antepenúltimo,A201
anteposto,A201
anteral,A308
anteridiforme,A301
anterior,A303
anterífero,A201
antiabortivo,A201
antialcoólico,A201
antialérgico,A201
antiamarílico,A201
antiapoplético,A201
antiasmático,A201
antiaéreo,A201
antibiótico,A201
antiblenorrágico,A201
antibotrópico,A201
antibrasileiro,A201
anticefalálgico,A201
anticlinal,A308
anticlíneo,A201
anticomaníaco,A201
anticomercial,A308
anticomunista,A301
anticoncepcional,A308
anticonstitucional,A308
anticonvulsivante,A301
anticrime,A306
anticristão,A203
anticrotálico,A201
